readcode,readterm,medcode,disease_new,disease_name_new,disease_number_new
136S.00,Hazardous alcohol use,19494,Alcohol Problems,alc_problems,179
E23..11,Alcoholism,2081,Alcohol Problems,alc_problems,179
E011200,Wernicke-Korsakov syndrome,18636,Alcohol Problems,alc_problems,179
E010.12,Delirium tremens,1476,Alcohol Problems,alc_problems,179
9k12.00,Alcohol misuse - enhanced service completed,63529,Alcohol Problems,alc_problems,179
9k1B.00,Extended intervention for excessive alcohol consumptn complt,96054,Alcohol Problems,alc_problems,179
E230200,Episodic acute alcoholic intoxication in alcoholism,21624,Alcohol Problems,alc_problems,179
C150500,Alcohol-induced pseudo-Cushing's syndrome,65754,Alcohol Problems,alc_problems,179
J612000,Alcoholic fibrosis and sclerosis of liver,21713,Alcohol Problems,alc_problems,179
Eu10512,[X]Alcoholic jealousy,65932,Alcohol Problems,alc_problems,179
Eu10800,[X]Alcohol withdrawal-induced seizure,32927,Alcohol Problems,alc_problems,179
E231.11,Dipsomania,37605,Alcohol Problems,alc_problems,179
F11x000,Cerebral degeneration due to alcoholism,47555,Alcohol Problems,alc_problems,179
7P22100,Delivery of rehabilitation for alcohol addiction,56410,Alcohol Problems,alc_problems,179
Eu10514,[X]Alcoholic psychosis NOS,17607,Alcohol Problems,alc_problems,179
E231z00,Chronic alcoholism NOS,33635,Alcohol Problems,alc_problems,179
J612.00,Alcoholic cirrhosis of liver,4743,Alcohol Problems,alc_problems,179
8CAv.00,Advised to contact primary care alcohol worker,97309,Alcohol Problems,alc_problems,179
E011000,Korsakov's alcoholic psychosis,4500,Alcohol Problems,alc_problems,179
E01yz00,Other alcoholic psychosis NOS,68111,Alcohol Problems,alc_problems,179
Z191200,Planned reduction of alcohol consumption,61383,Alcohol Problems,alc_problems,179
J611.00,Acute alcoholic hepatitis,3216,Alcohol Problems,alc_problems,179
66e..00,Alcohol disorder monitoring,12442,Alcohol Problems,alc_problems,179
E011100,Korsakov's alcoholic psychosis with peripheral neuritis,11106,Alcohol Problems,alc_problems,179
E231100,Continuous chronic alcoholism,24064,Alcohol Problems,alc_problems,179
E015.00,Alcoholic paranoia,30404,Alcohol Problems,alc_problems,179
F394100,Alcoholic myopathy,31742,Alcohol Problems,alc_problems,179
J617.00,Alcoholic hepatitis,7943,Alcohol Problems,alc_problems,179
Eu10.00,[X]Mental and behavioural disorders due to use of alcohol,5611,Alcohol Problems,alc_problems,179
Eu10100,[X]Mental and behav dis due to use of alcohol: harmful use,21879,Alcohol Problems,alc_problems,179
E230300,"Acute alcoholic intoxication in remission, in alcoholism",59574,Alcohol Problems,alc_problems,179
9NN2.00,Under care of community alcohol team,9489,Alcohol Problems,alc_problems,179
Eu10513,[X]Alcoholic paranoia,30162,Alcohol Problems,alc_problems,179
E230z00,Acute alcoholic intoxication in alcoholism NOS,36296,Alcohol Problems,alc_problems,179
E23..12,Alcohol problem drinking,1399,Alcohol Problems,alc_problems,179
Eu10712,[X]Chronic alcoholic brain syndrome,37691,Alcohol Problems,alc_problems,179
C253.00,Wernicke's encephalopathy,11107,Alcohol Problems,alc_problems,179
ZV57A00,[V]Alcohol rehabilitation,8388,Alcohol Problems,alc_problems,179
E013.00,Alcohol withdrawal hallucinosis,25110,Alcohol Problems,alc_problems,179
E012.00,Other alcoholic dementia,54505,Alcohol Problems,alc_problems,179
E230.00,Acute alcoholic intoxication in alcoholism,5740,Alcohol Problems,alc_problems,179
136W.00,Alcohol misuse,94670,Alcohol Problems,alc_problems,179
E01z.00,Alcoholic psychosis NOS,67651,Alcohol Problems,alc_problems,179
Eu10700,[X]Men & behav dis due alcoh: resid & late-onset psychot dis,62000,Alcohol Problems,alc_problems,179
J613000,Alcoholic hepatic failure,17330,Alcohol Problems,alc_problems,179
J613.00,Alcoholic liver damage unspecified,7885,Alcohol Problems,alc_problems,179
9k1..00,Alcohol misuse - enhanced services administration,11740,Alcohol Problems,alc_problems,179
Eu10200,[X]Mental and behav dis due to use alcohol: dependence syndr,39327,Alcohol Problems,alc_problems,179
E231200,Episodic chronic alcoholism,26106,Alcohol Problems,alc_problems,179
1B1c.00,Alcohol induced hallucinations,38061,Alcohol Problems,alc_problems,179
F144000,Cerebellar ataxia due to alcoholism,33839,Alcohol Problems,alc_problems,179
ZV6D600,[V]Alcohol abuse counselling and surveillance,8030,Alcohol Problems,alc_problems,179
Eu10y00,[X]Men & behav dis due to use alcohol: oth men & behav dis,45169,Alcohol Problems,alc_problems,179
8G32.00,Aversion therapy - alcoholism,29691,Alcohol Problems,alc_problems,179
E011z00,Alcohol amnestic syndrome NOS,41920,Alcohol Problems,alc_problems,179
J617000,Chronic alcoholic hepatitis,7602,Alcohol Problems,alc_problems,179
E23z.00,Alcohol dependence syndrome NOS,6169,Alcohol Problems,alc_problems,179
E01y.00,Other alcoholic psychosis,33670,Alcohol Problems,alc_problems,179
E01..00,Alcoholic psychoses,16237,Alcohol Problems,alc_problems,179
136T.00,Harmful alcohol use,30695,Alcohol Problems,alc_problems,179
E010.00,Alcohol withdrawal delirium,16225,Alcohol Problems,alc_problems,179
Eu10511,[X]Alcoholic hallucinosis,6467,Alcohol Problems,alc_problems,179
E011.00,Alcohol amnestic syndrome,20762,Alcohol Problems,alc_problems,179
Eu10711,[X]Alcoholic dementia NOS,26323,Alcohol Problems,alc_problems,179
E012000,Chronic alcoholic brain syndrome,37946,Alcohol Problems,alc_problems,179
E231000,Unspecified chronic alcoholism,43193,Alcohol Problems,alc_problems,179
F375.00,Alcoholic polyneuropathy,2925,Alcohol Problems,alc_problems,179
Eu10z00,[X]Ment & behav dis due use alcohol: unsp ment & behav dis,64389,Alcohol Problems,alc_problems,179
8HkJ.00,Referral to alcohol brief intervention service,96993,Alcohol Problems,alc_problems,179
E230100,Continuous acute alcoholic intoxication in alcoholism,56947,Alcohol Problems,alc_problems,179
E231300,Chronic alcoholism in remission,24485,Alcohol Problems,alc_problems,179
Eu10300,[X]Mental and behav dis due to use alcohol: withdrawal state,20514,Alcohol Problems,alc_problems,179
66e0.00,Alcohol abuse monitoring,32964,Alcohol Problems,alc_problems,179
E231.00,Chronic alcoholism,31443,Alcohol Problems,alc_problems,179
E010.11,DTs - delirium tremens,22277,Alcohol Problems,alc_problems,179
G555.00,Alcoholic cardiomyopathy,4915,Alcohol Problems,alc_problems,179
ZV11311,[V]Problems related to lifestyle alcohol use,16587,Alcohol Problems,alc_problems,179
J610.00,Alcoholic fatty liver,10691,Alcohol Problems,alc_problems,179
J670800,Alcohol-induced acute pancreatitis,104611,Alcohol Problems,alc_problems,179
J153.00,Alcoholic gastritis,4506,Alcohol Problems,alc_problems,179
ZV11300,[V]Personal history of alcoholism,7123,Alcohol Problems,alc_problems,179
1462.00,H/O: alcoholism,8430,Alcohol Problems,alc_problems,179
E012.11,Alcoholic dementia NOS,27342,Alcohol Problems,alc_problems,179
J671000,Alcohol-induced chronic pancreatitis,24984,Alcohol Problems,alc_problems,179
8H35.00,Admitted to alcohol detoxification centre,21650,Alcohol Problems,alc_problems,179
E01y000,Alcohol withdrawal syndrome,2082,Alcohol Problems,alc_problems,179
Z4B1.00,Alcoholism counselling,30460,Alcohol Problems,alc_problems,179
Eu10500,[X]Mental & behav dis due to use alcohol: psychotic disorder,12353,Alcohol Problems,alc_problems,179
C251.11,Wernicke's encephalopathy,4501,Alcohol Problems,alc_problems,179
Eu10611,"[X]Korsakov's psychosis, alcohol induced",11670,Alcohol Problems,alc_problems,179
F25B.00,Alcohol-induced epilepsy,30604,Alcohol Problems,alc_problems,179
Eu10411,"[X]Delirium tremens, alcohol induced",17259,Alcohol Problems,alc_problems,179
F11x011,Alcoholic encephalopathy,36748,Alcohol Problems,alc_problems,179
E230.11,Alcohol dependence with acute alcoholic intoxication,57714,Alcohol Problems,alc_problems,179
8BA8.00,Alcohol detoxification,2083,Alcohol Problems,alc_problems,179
Eu10400,[X]Men & behav dis due alcohl: withdrawl state with delirium,64101,Alcohol Problems,alc_problems,179
Eu10212,[X]Chronic alcoholism,5758,Alcohol Problems,alc_problems,179
Eu10600,[X]Mental and behav dis due to use alcohol: amnesic syndrome,39799,Alcohol Problems,alc_problems,179
Z191100,Alcohol withdrawal regime,46677,Alcohol Problems,alc_problems,179
Z191.00,Alcohol detoxification,41983,Alcohol Problems,alc_problems,179
G852300,Oesophageal varices in alcoholic cirrhosis of the liver,8363,Alcohol Problems,alc_problems,179
E23..00,Alcohol dependence syndrome,2084,Alcohol Problems,alc_problems,179
H172.11,Hay fever - unspecified allergen,3798,Allergic and chronic rhinitis,allergic_rhinitis,121
H171.16,House dust mite allergy,1930,Allergic and chronic rhinitis,allergic_rhinitis,121
H120200,Chronic hypertrophic rhinitis,15553,Allergic and chronic rhinitis,allergic_rhinitis,121
H120.00,Chronic rhinitis,774,Allergic and chronic rhinitis,allergic_rhinitis,121
H330011,Hay fever with asthma,5627,Allergic and chronic rhinitis,allergic_rhinitis,121
H120300,Chronic atrophic rhinitis,16441,Allergic and chronic rhinitis,allergic_rhinitis,121
Hyu2100,[X]Other allergic rhinitis,47599,Allergic and chronic rhinitis,allergic_rhinitis,121
H171.00,Allergic rhinitis due to other allergens,2372,Allergic and chronic rhinitis,allergic_rhinitis,121
H330.13,Hay fever with asthma,15248,Allergic and chronic rhinitis,allergic_rhinitis,121
H17z.00,Allergic rhinitis NOS,964,Allergic and chronic rhinitis,allergic_rhinitis,121
H17..12,Allergic rhinosinusitis,18572,Allergic and chronic rhinitis,allergic_rhinitis,121
H17..11,Perennial rhinitis,1468,Allergic and chronic rhinitis,allergic_rhinitis,121
H170.11,Hay fever - pollens,121,Allergic and chronic rhinitis,allergic_rhinitis,121
H171000,Allergy to animal,12382,Allergic and chronic rhinitis,allergic_rhinitis,121
H170.00,Allergic rhinitis due to pollens,1838,Allergic and chronic rhinitis,allergic_rhinitis,121
H120100,Chronic catarrhal rhinitis,805,Allergic and chronic rhinitis,allergic_rhinitis,121
H18..00,Vasomotor rhinitis,1108,Allergic and chronic rhinitis,allergic_rhinitis,121
H120700,Chronic fibrinous rhinitis,104543,Allergic and chronic rhinitis,allergic_rhinitis,121
H171.11,Cat allergy,4861,Allergic and chronic rhinitis,allergic_rhinitis,121
Hyu2000,[X]Other seasonal allergic rhinitis,72490,Allergic and chronic rhinitis,allergic_rhinitis,121
H13..11,Chronic rhinosinusitis,10546,Allergic and chronic rhinitis,allergic_rhinitis,121
H120000,Chronic simple rhinitis,28589,Allergic and chronic rhinitis,allergic_rhinitis,121
H170.12,Pollinosis,24163,Allergic and chronic rhinitis,allergic_rhinitis,121
H171.15,House dust allergy,3162,Allergic and chronic rhinitis,allergic_rhinitis,121
14B1.00,H/O: hay fever,9302,Allergic and chronic rhinitis,allergic_rhinitis,121
H120500,Chronic ulcerative rhinitis,42556,Allergic and chronic rhinitis,allergic_rhinitis,121
H120600,Chronic membranous rhinitis,42065,Allergic and chronic rhinitis,allergic_rhinitis,121
H171.14,Hay fever - other allergen,16134,Allergic and chronic rhinitis,allergic_rhinitis,121
H171100,Dog allergy,95938,Allergic and chronic rhinitis,allergic_rhinitis,121
H17..00,Allergic rhinitis,175,Allergic and chronic rhinitis,allergic_rhinitis,121
H120400,Chronic infective rhinitis,16158,Allergic and chronic rhinitis,allergic_rhinitis,121
H171.13,Feather allergy,30375,Allergic and chronic rhinitis,allergic_rhinitis,121
H171.12,Dander (animal) allergy,13377,Allergic and chronic rhinitis,allergic_rhinitis,121
H120z00,Chronic rhinitis NOS,14645,Allergic and chronic rhinitis,allergic_rhinitis,121
H172.00,Allergic rhinitis due to unspecified allergen,775,Allergic and chronic rhinitis,allergic_rhinitis,121
M240111,Ophiasis,60422,Alopecia areata,alopecia_areata,230
M240U00,Ophiasis,99217,Alopecia areata,alopecia_areata,230
M240K00,Alopecia universalis,2154,Alopecia areata,alopecia_areata,230
M240100,Alopecia areata,685,Alopecia areata,alopecia_areata,230
Myu6200,[X]Other alopecia areata,53782,Alopecia areata,alopecia_areata,230
M240B00,Alopecia totalis,2449,Alopecia areata,alopecia_areata,230
J53z.00,Anal fissure and fistula NOS,15210,Anal fissure,anal_fissure,54
J530100,Chronic anal fissure,18337,Anal fissure,anal_fissure,54
J530000,Acute anal fissure,10905,Anal fissure,anal_fissure,54
J530.00,Anal fissure,928,Anal fissure,anal_fissure,54
J53..00,Anal fissure and fistula,1979,Anal fissure,anal_fissure,54
J530.11,Tear of anus - non-traumatic,12665,Anal fissure,anal_fissure,54
7739300,Excision of anal fissure,1089,Anal fissure,anal_fissure,54
J544.00,Ano-rectal fissure abscess,62790,Anal fissure,anal_fissure,54
J577000,Angiodysplasia of colon,6504,Angiodysplasia of colon,angiodysplasia_colon,55
2377.00,O/E - ankyl.spondyl.chest def.,37400,Ankylosing spondylitis,ank_spond,192
388p.00,BASDAI - Bath ankylosing spondylitis disease activity index,93639,Ankylosing spondylitis,ank_spond,192
N100.00,Ankylosing spondylitis,2184,Ankylosing spondylitis,ank_spond,192
N100.11,Marie - Strumpell spondylitis,40946,Ankylosing spondylitis,ank_spond,192
7738400,Fistulography of anal fistula,18188,Anorectal fistula,anorectal_fistula,56
7738100,Laying open of high anal fistula,20959,Anorectal fistula,anorectal_fistula,56
7738.11,Anal fistula operations,18201,Anorectal fistula,anorectal_fistula,56
J53z.00,Anal fissure and fistula NOS,15210,Anorectal fistula,anorectal_fistula,56
J531.00,Fistula-in-ano,598,Anorectal fistula,anorectal_fistula,56
J53..00,Anal fissure and fistula,1979,Anorectal fistula,anorectal_fistula,56
J531z00,Fistula-in-ano NOS,37729,Anorectal fistula,anorectal_fistula,56
7738300,Insertion seton in high anal fistula+part lay open track HFQ,19419,Anorectal fistula,anorectal_fistula,56
J531200,Ano-rectal fistula,19952,Anorectal fistula,anorectal_fistula,56
J531300,Rectal fistula,15202,Anorectal fistula,anorectal_fistula,56
J531100,Inter-muscular anal fistula,59127,Anorectal fistula,anorectal_fistula,56
7738200,Laying open of anal fistula NEC,2406,Anorectal fistula,anorectal_fistula,56
7738000,Laying open of low anal fistula,4994,Anorectal fistula,anorectal_fistula,56
7729700,Closure of rectal fistula,20885,Anorectal fistula,anorectal_fistula,56
7738900,Repair of anal fistula using plug,97573,Anorectal fistula,anorectal_fistula,56
7738600,Excision of fistula in ano,7140,Anorectal fistula,anorectal_fistula,56
J531000,Sub-mucosal anal fistula,56271,Anorectal fistula,anorectal_fistula,56
7738611,Excision of anal fistula,4791,Anorectal fistula,anorectal_fistula,56
7723.11,Proctopexy for prolapse of rectum,59814,Anorectal prolapse,anorectal_prolapse,57
7727y00,Other specified perineal operation for rectal prolapse,35094,Anorectal prolapse,anorectal_prolapse,57
7723511,Insertion of Wells sponge for rectal prolapse,60050,Anorectal prolapse,anorectal_prolapse,57
7723.00,Fixation of rectum for prolapse,37454,Anorectal prolapse,anorectal_prolapse,57
7727.00,Perineal operations for rectal prolapse,8462,Anorectal prolapse,anorectal_prolapse,57
7723411,Erickman repair of prolapse of rectum,66421,Anorectal prolapse,anorectal_prolapse,57
7723z00,Fixation of rectum for prolapse NOS,36812,Anorectal prolapse,anorectal_prolapse,57
7720y00,Partial excision of rectum and sigmoid colon for prolapse OS,65586,Anorectal prolapse,anorectal_prolapse,57
7723400,Proctopexy for prolapse of rectum,61896,Anorectal prolapse,anorectal_prolapse,57
7724012,Roscoe repair for rectal prolapse,65638,Anorectal prolapse,anorectal_prolapse,57
J571.12,Proctoptosis,47689,Anorectal prolapse,anorectal_prolapse,57
7723.12,Rectopexy for prolapse,7782,Anorectal prolapse,anorectal_prolapse,57
7724y11,Delorme repair of rectum for prolapse,24957,Anorectal prolapse,anorectal_prolapse,57
J571200,Anal prolapse,19187,Anorectal prolapse,anorectal_prolapse,57
7727z00,Perineal operation for rectal prolapse NOS,28627,Anorectal prolapse,anorectal_prolapse,57
7720.00,Partial excision of rectum and sigmoid colon for prolapse,43713,Anorectal prolapse,anorectal_prolapse,57
7724z00,Other abdominal operation for rectal prolapse NOS,53085,Anorectal prolapse,anorectal_prolapse,57
7726400,Reduction of prolapsed rectum NEC,51487,Anorectal prolapse,anorectal_prolapse,57
7723y00,Other specified fixation of rectum for prolapse,43157,Anorectal prolapse,anorectal_prolapse,57
7724y00,Other abdominal operation for rectal prolapse OS,55314,Anorectal prolapse,anorectal_prolapse,57
7727011,Thiersch wiring for prolapse of rectum,51159,Anorectal prolapse,anorectal_prolapse,57
J571.00,Rectal prolapse,646,Anorectal prolapse,anorectal_prolapse,57
7724.00,Other abdominal operations for rectal prolapse,12043,Anorectal prolapse,anorectal_prolapse,57
J571z00,Rectal prolapse NOS,14911,Anorectal prolapse,anorectal_prolapse,57
J579.00,Rectal mucosa prolapse,84397,Anorectal prolapse,anorectal_prolapse,57
J571100,Complete rectal prolapse,16283,Anorectal prolapse,anorectal_prolapse,57
7720z00,Partial excision of rectum & sigmoid colon for prolapse NOS,68666,Anorectal prolapse,anorectal_prolapse,57
7724011,Graham repair for rectal prolapse,103075,Anorectal prolapse,anorectal_prolapse,57
7723500,Insertion of sponge for rectal prolapse,52489,Anorectal prolapse,anorectal_prolapse,57
7727400,Excision of mucosal prolapse of rectum NEC,19311,Anorectal prolapse,anorectal_prolapse,57
7728400,Manual reduction of rectal prolapse,26841,Anorectal prolapse,anorectal_prolapse,57
7727500,Perineal repair of rectal prolapse NEC,12631,Anorectal prolapse,anorectal_prolapse,57
J571000,Partial rectal prolapse,3631,Anorectal prolapse,anorectal_prolapse,57
J571.11,Procidentia - anus and/or rectum,31821,Anorectal prolapse,anorectal_prolapse,57
C34y300,Gouty iritis,50067,Anterior and Intermediate Uveitis,ant_uveitis,90
1486.00,H/O: iritis,8299,Anterior and Intermediate Uveitis,ant_uveitis,90
F443.11,Uveitis NOS,477,Anterior and Intermediate Uveitis,ant_uveitis,90
F442000,Fuchs' heterochromic cyclitis,2161,Anterior and Intermediate Uveitis,ant_uveitis,90
F442100,Glaucomatocyclitic crises,29764,Anterior and Intermediate Uveitis,ant_uveitis,90
F440z00,Acute or subacute iritis NOS,6849,Anterior and Intermediate Uveitis,ant_uveitis,90
A544400,Herpes simplex iridocyclitis,61223,Anterior and Intermediate Uveitis,ant_uveitis,90
A532200,Herpes zoster iridocyclitis,55940,Anterior and Intermediate Uveitis,ant_uveitis,90
F432311,Pars planitis,7882,Anterior and Intermediate Uveitis,ant_uveitis,90
F441.00,Chronic iridocyclitis,37140,Anterior and Intermediate Uveitis,ant_uveitis,90
A984100,Gonococcal iridocyclitis,106506,Anterior and Intermediate Uveitis,ant_uveitis,90
F440700,Diabetic iritis,17313,Anterior and Intermediate Uveitis,ant_uveitis,90
F441000,Unspecified chronic iridocyclitis,38716,Anterior and Intermediate Uveitis,ant_uveitis,90
F440400,Secondary infected iridocyclitis,92888,Anterior and Intermediate Uveitis,ant_uveitis,90
F443.00,Unspecified iridocyclitis,14731,Anterior and Intermediate Uveitis,ant_uveitis,90
F441200,Chronic anterior uveitis,5556,Anterior and Intermediate Uveitis,ant_uveitis,90
F440500,Secondary noninfected iridocyclitis,54389,Anterior and Intermediate Uveitis,ant_uveitis,90
F442z00,Certain types of cyclitis NOS,91596,Anterior and Intermediate Uveitis,ant_uveitis,90
F442.00,Certain types of iridocyclitis,72481,Anterior and Intermediate Uveitis,ant_uveitis,90
F441.11,Chronic iritis,17480,Anterior and Intermediate Uveitis,ant_uveitis,90
F440100,Unspecified subacute iridocyclitis,63210,Anterior and Intermediate Uveitis,ant_uveitis,90
F443100,Iritis,98094,Anterior and Intermediate Uveitis,ant_uveitis,90
F44..12,Iridocyclitis,2703,Anterior and Intermediate Uveitis,ant_uveitis,90
F440.00,Acute and subacute iridocyclitis,10579,Anterior and Intermediate Uveitis,ant_uveitis,90
F440200,Primary iridocyclitis,69723,Anterior and Intermediate Uveitis,ant_uveitis,90
F441z00,Chronic iridocyclitis NOS,64804,Anterior and Intermediate Uveitis,ant_uveitis,90
F442200,Lens-induced iridocyclitis,72546,Anterior and Intermediate Uveitis,ant_uveitis,90
A173300,Tuberculous chronic iridocyclitis,38342,Anterior and Intermediate Uveitis,ant_uveitis,90
F443000,Anterior uveitis,2245,Anterior and Intermediate Uveitis,ant_uveitis,90
F441100,Chronic iridocyclitis due to disease EC,64052,Anterior and Intermediate Uveitis,ant_uveitis,90
F440600,Hypopyon,20130,Anterior and Intermediate Uveitis,ant_uveitis,90
F440.11,Iritis - acute,478,Anterior and Intermediate Uveitis,ant_uveitis,90
F440300,Recurrent iridocyclitis,21163,Anterior and Intermediate Uveitis,ant_uveitis,90
F432300,Posterior cyclitis,19645,Anterior and Intermediate Uveitis,ant_uveitis,90
F440000,Unspecified acute iridocyclitis,43159,Anterior and Intermediate Uveitis,ant_uveitis,90
Eu40011,[X]Agoraphobia without history of panic disorder,16729,Anxiety disorders,anxiety,181
E202400,"Social phobia, fear of public speaking",31957,Anxiety disorders,anxiety,181
Eu41012,[X]Panic state,4081,Anxiety disorders,anxiety,181
E202z00,Phobic disorder NOS,14729,Anxiety disorders,anxiety,181
Eu41300,[X]Other mixed anxiety disorders,44321,Anxiety disorders,anxiety,181
E20yz00,Other neurotic disorder NOS,43050,Anxiety disorders,anxiety,181
E20y100,Writer's cramp neurosis,3685,Anxiety disorders,anxiety,181
286..00,Poor insight into neurotic condition,5274,Anxiety disorders,anxiety,181
Eu40211,[X]Acrophobia,67965,Anxiety disorders,anxiety,181
Eu41113,[X]Anxiety state,50191,Anxiety disorders,anxiety,181
Eu40y00,[X]Other phobic anxiety disorders,27685,Anxiety disorders,anxiety,181
ZV11200,[V]Personal history of neurosis,51613,Anxiety disorders,anxiety,181
Eu40212,[X]Animal phobias,18248,Anxiety disorders,anxiety,181
225J.00,O/E - panic attack,19000,Anxiety disorders,anxiety,181
E202600,Acrophobia,28106,Anxiety disorders,anxiety,181
8G94.00,Anxiety management training,9125,Anxiety disorders,anxiety,181
