icd10code,icd10codedescr,disease_new,disease_name_new,disease_number_new
K74.3,Primary biliary cirrhosis,Autoimmune liver disease,autoimm_liver,59
K75.4,Autoimmune hepatitis,Autoimmune liver disease,autoimm_liver,59
G99.1,Other disorders of autonomic nervous system in other diseases classified elsewhere,Disorders of autonomic nervous system,autonomic_neuro,216
M89.0,Algoneurodystrophy,Disorders of autonomic nervous system,autonomic_neuro,216
G99.0,Autonomic neuropathy in endocrine and metabolic diseases,Disorders of autonomic nervous system,autonomic_neuro,216
G90,Disorders of autonomic nervous system,Disorders of autonomic nervous system,autonomic_neuro,216
I44.0,"Atrioventricular block, first degree","Atrioventricular block, first degree",av_block_1,19
I44.1,"Atrioventricular block, second degree","Atrioventricular block, second degree",av_block_2,20
I44.2,"Atrioventricular block, complete","Atrioventricular block, complete",av_block_3,18
D51,Vitamin B12 deficiency anaemia,Vitamin B12 deficiency anaemia,b12_def,150
A51,Early syphilis,Bacterial Diseases (excl TB),bacterial,151
A75,Typhus fever,Bacterial Diseases (excl TB),bacterial,151
I98.0,Cardiovascular syphilis,Bacterial Diseases (excl TB),bacterial,151
A25,Rat-bite fevers,Bacterial Diseases (excl TB),bacterial,151
A41.5,Sepsis due to other Gram-negative organisms,Bacterial Diseases (excl TB),bacterial,151
G05.0,"Encephalitis, myelitis and encephalomyelitis in bacterial diseases classified elsewhere",Bacterial Diseases (excl TB),bacterial,151
A24,Glanders and melioidosis,Bacterial Diseases (excl TB),bacterial,151
N41.3,Prostatocystitis,Bacterial Diseases (excl TB),bacterial,151
P23.1,Congenital pneumonia due to Chlamydia,Bacterial Diseases (excl TB),bacterial,151
A41.4,Sepsis due to anaerobes,Bacterial Diseases (excl TB),bacterial,151
K61,Abscess of anal and rectal regions,Bacterial Diseases (excl TB),bacterial,151
A31,Infection due to other mycobacteria,Bacterial Diseases (excl TB),bacterial,151
J36,Peritonsillar abscess,Bacterial Diseases (excl TB),bacterial,151
A38,Scarlet fever,Bacterial Diseases (excl TB),bacterial,151
J20.2,Acute bronchitis due to streptococcus,Bacterial Diseases (excl TB),bacterial,151
G04.2,"Bacterial meningoencephalitis and meningomyelitis, not elsewhere classified",Bacterial Diseases (excl TB),bacterial,151
A20,Plague,Bacterial Diseases (excl TB),bacterial,151
A58,Granuloma inguinale,Bacterial Diseases (excl TB),bacterial,151
A43,Nocardiosis,Bacterial Diseases (excl TB),bacterial,151
M03.0,Postmeningococcal arthritis,Bacterial Diseases (excl TB),bacterial,151
M49.2,Enterobacterial spondylitis,Bacterial Diseases (excl TB),bacterial,151
A01,Typhoid and paratyphoid fevers,Bacterial Diseases (excl TB),bacterial,151
N39.0,"Urinary tract infection, site not specified",Bacterial Diseases (excl TB),bacterial,151
M71.0,Abscess of bursa,Bacterial Diseases (excl TB),bacterial,151
A66,Yaws,Bacterial Diseases (excl TB),bacterial,151
M86,Osteomyelitis,Bacterial Diseases (excl TB),bacterial,151
P23.5,Congenital pneumonia due to Pseudomonas,Bacterial Diseases (excl TB),bacterial,151
N41.0,Acute prostatitis,Bacterial Diseases (excl TB),bacterial,151
A00,Cholera,Bacterial Diseases (excl TB),bacterial,151
L01,Impetigo,Bacterial Diseases (excl TB),bacterial,151
A04,Other bacterial intestinal infections,Bacterial Diseases (excl TB),bacterial,151
M49.1,Brucella spondylitis,Bacterial Diseases (excl TB),bacterial,151
A03,Shigellosis,Bacterial Diseases (excl TB),bacterial,151
N74.3,Female gonococcal pelvic inflammatory disease,Bacterial Diseases (excl TB),bacterial,151
M01.3,Arthritis in other bacterial diseases classified elsewhere,Bacterial Diseases (excl TB),bacterial,151
A78,Q fever,Bacterial Diseases (excl TB),bacterial,151
J16.0,Chlamydial pneumonia,Bacterial Diseases (excl TB),bacterial,151
M00.2,Other streptococcal arthritis and polyarthritis,Bacterial Diseases (excl TB),bacterial,151
A55,Chlamydial lymphogranuloma (venereum),Bacterial Diseases (excl TB),bacterial,151
A27,Leptospirosis,Bacterial Diseases (excl TB),bacterial,151
N45,Orchitis and epididymitis,Bacterial Diseases (excl TB),bacterial,151
M73.1,Syphilitic bursitis,Bacterial Diseases (excl TB),bacterial,151
A53,Other and unspecified syphilis,Bacterial Diseases (excl TB),bacterial,151
N71,"Inflammatory disease of uterus, except cervix",Bacterial Diseases (excl TB),bacterial,151
H62.0,Otitis externa in bacterial diseases classified elsewhere,Bacterial Diseases (excl TB),bacterial,151
A67,Pinta [carate],Bacterial Diseases (excl TB),bacterial,151
P37.2,Neonatal (disseminated) listeriosis,Bacterial Diseases (excl TB),bacterial,151
A79,Other rickettsioses,Bacterial Diseases (excl TB),bacterial,151
M90.2,Osteopathy in other infectious diseases classified elsewhere,Bacterial Diseases (excl TB),bacterial,151
L03,Cellulitis,Bacterial Diseases (excl TB),bacterial,151
A52,Late syphilis,Bacterial Diseases (excl TB),bacterial,151
I41.0,Myocarditis in bacterial diseases classified elsewhere,Bacterial Diseases (excl TB),bacterial,151
N41.2,Abscess of prostate,Bacterial Diseases (excl TB),bacterial,151
A68,Relapsing fevers,Bacterial Diseases (excl TB),bacterial,151
A35,Other tetanus,Bacterial Diseases (excl TB),bacterial,151
B94.0,Sequelae of trachoma,Bacterial Diseases (excl TB),bacterial,151
J86,Pyothorax,Bacterial Diseases (excl TB),bacterial,151
M00.8,Arthritis and polyarthritis due to other specified bacterial agents,Bacterial Diseases (excl TB),bacterial,151
H67.0,Otitis media in bacterial diseases classified elsewhere,Bacterial Diseases (excl TB),bacterial,151
G01,Meningitis in bacterial diseases classified elsewhere,Bacterial Diseases (excl TB),bacterial,151
A41.3,Sepsis due to Haemophilus influenzae,Bacterial Diseases (excl TB),bacterial,151
M65.1,Other infective (teno)synovitis,Bacterial Diseases (excl TB),bacterial,151
B92,Sequelae of leprosy,Bacterial Diseases (excl TB),bacterial,151
A48,"Other bacterial diseases, not elsewhere classified",Bacterial Diseases (excl TB),bacterial,151
B96,Other specified bacterial agents as the cause of diseases classified to other chapters,Bacterial Diseases (excl TB),bacterial,151
N74.8,Female pelvic inflammatory disorders in other diseases classified elsewhere,Bacterial Diseases (excl TB),bacterial,151
L00,Staphylococcal scalded skin syndrome,Bacterial Diseases (excl TB),bacterial,151
P23.3,"Congenital pneumonia due to streptococcus, group B",Bacterial Diseases (excl TB),bacterial,151
K67.0,Chlamydial peritonitis,Bacterial Diseases (excl TB),bacterial,151
A02,Other salmonella infections,Bacterial Diseases (excl TB),bacterial,151
L08.1,Erythrasma,Bacterial Diseases (excl TB),bacterial,151
J39.0,Retropharyngeal and parapharyngeal abscess,Bacterial Diseases (excl TB),bacterial,151
P23.6,Congenital pneumonia due to other bacterial agents,Bacterial Diseases (excl TB),bacterial,151
A26,Erysipeloid,Bacterial Diseases (excl TB),bacterial,151
J39.1,Other abscess of pharynx,Bacterial Diseases (excl TB),bacterial,151
N72,Inflammatory disease of cervix uteri,Bacterial Diseases (excl TB),bacterial,151
I05,Rheumatic mitral valve diseases,Bacterial Diseases (excl TB),bacterial,151
I06,Rheumatic aortic valve diseases,Bacterial Diseases (excl TB),bacterial,151
A32,Listeriosis,Bacterial Diseases (excl TB),bacterial,151
A77,Spotted fever [tick-borne rickettsioses],Bacterial Diseases (excl TB),bacterial,151
J02.0,Streptococcal pharyngitis,Bacterial Diseases (excl TB),bacterial,151
N75.1,Abscess of Bartholin's gland,Bacterial Diseases (excl TB),bacterial,151
M63.0,Myositis in bacterial diseases classified elsewhere,Bacterial Diseases (excl TB),bacterial,151
A50,Congenital syphilis,Bacterial Diseases (excl TB),bacterial,151
A22,Anthrax,Bacterial Diseases (excl TB),bacterial,151
A54,Gonococcal infection,Bacterial Diseases (excl TB),bacterial,151
A57,Chancroid,Bacterial Diseases (excl TB),bacterial,151
L05.0,Pilonidal cyst with abscess,Bacterial Diseases (excl TB),bacterial,151
M03.1,Postinfective arthropathy in syphilis,Bacterial Diseases (excl TB),bacterial,151
B98.1,Vibrio vulnificus as the cause of diseases classified to other chapters,Bacterial Diseases (excl TB),bacterial,151
L02,"Cutaneous abscess, furuncle and carbuncle",Bacterial Diseases (excl TB),bacterial,151
J03.0,Streptococcal tonsillitis,Bacterial Diseases (excl TB),bacterial,151
I02,Rheumatic chorea,Bacterial Diseases (excl TB),bacterial,151
I01,Rheumatic fever with heart involvement,Bacterial Diseases (excl TB),bacterial,151
A65,Nonvenereal syphilis,Bacterial Diseases (excl TB),bacterial,151
A30,Leprosy [Hansen's disease],Bacterial Diseases (excl TB),bacterial,151
I00,Rheumatic fever without mention of heart involvement,Bacterial Diseases (excl TB),bacterial,151
A23,Brucellosis,Bacterial Diseases (excl TB),bacterial,151
G00,"Bacterial meningitis, not elsewhere classified",Bacterial Diseases (excl TB),bacterial,151
A39,Meningococcal infection,Bacterial Diseases (excl TB),bacterial,151
J14,Pneumonia due to Haemophilus influenzae,Bacterial Diseases (excl TB),bacterial,151
J13,Pneumonia due to Streptococcus pneumoniae,Bacterial Diseases (excl TB),bacterial,151
M00.0,Staphylococcal arthritis and polyarthritis,Bacterial Diseases (excl TB),bacterial,151
N15.1,Renal and perinephric abscess,Bacterial Diseases (excl TB),bacterial,151
K63.0,Abscess of intestine,Bacterial Diseases (excl TB),bacterial,151
A56,Other sexually transmitted chlamydial diseases,Bacterial Diseases (excl TB),bacterial,151
K67.1,Gonococcal peritonitis,Bacterial Diseases (excl TB),bacterial,151
A28,"Other zoonotic bacterial diseases, not elsewhere classified",Bacterial Diseases (excl TB),bacterial,151
I07,Rheumatic tricuspid valve diseases,Bacterial Diseases (excl TB),bacterial,151
P23.4,Congenital pneumonia due to Escherichia coli,Bacterial Diseases (excl TB),bacterial,151
A70,Chlamydia psittaci infection,Bacterial Diseases (excl TB),bacterial,151
J17.0,Pneumonia in bacterial diseases classified elsewhere,Bacterial Diseases (excl TB),bacterial,151
J34.0,"Abscess, furuncle and carbuncle of nose",Bacterial Diseases (excl TB),bacterial,151
A42,Actinomycosis,Bacterial Diseases (excl TB),bacterial,151
A46,Erysipelas,Bacterial Diseases (excl TB),bacterial,151
A41.1,Sepsis due to other specified staphylococcus,Bacterial Diseases (excl TB),bacterial,151
M65.0,Abscess of tendon sheath,Bacterial Diseases (excl TB),bacterial,151
J20.1,Acute bronchitis due to Haemophilus influenzae,Bacterial Diseases (excl TB),bacterial,151
A05,"Other bacterial foodborne intoxications, not elsewhere classified",Bacterial Diseases (excl TB),bacterial,151
N73,Other female pelvic inflammatory diseases,Bacterial Diseases (excl TB),bacterial,151
N29.0,Late syphilis of kidney,Bacterial Diseases (excl TB),bacterial,151
A74,Other diseases caused by chlamydiae,Bacterial Diseases (excl TB),bacterial,151
A36,Diphtheria,Bacterial Diseases (excl TB),bacterial,151
N13.6,Pyonephrosis,Bacterial Diseases (excl TB),bacterial,151
A49,Bacterial infection of unspecified site,Bacterial Diseases (excl TB),bacterial,151
M01.2,Arthritis in Lyme disease,Bacterial Diseases (excl TB),bacterial,151
M71.1,Other infective bursitis,Bacterial Diseases (excl TB),bacterial,151
M00.1,Pneumococcal arthritis and polyarthritis,Bacterial Diseases (excl TB),bacterial,151
I09,Other rheumatic heart diseases,Bacterial Diseases (excl TB),bacterial,151
P23.2,Congenital pneumonia due to staphylococcus,Bacterial Diseases (excl TB),bacterial,151
A71,Trachoma,Bacterial Diseases (excl TB),bacterial,151
B95,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,Bacterial Diseases (excl TB),bacterial,151
A21,Tularaemia,Bacterial Diseases (excl TB),bacterial,151
B20.1,HIV disease resulting in other bacterial infections,Bacterial Diseases (excl TB),bacterial,151
J15,"Bacterial pneumonia, not elsewhere classified",Bacterial Diseases (excl TB),bacterial,151
N43.1,Infected hydrocele,Bacterial Diseases (excl TB),bacterial,151
A44,Bartonellosis,Bacterial Diseases (excl TB),bacterial,151
M00.9,"Pyogenic arthritis, unspecified",Bacterial Diseases (excl TB),bacterial,151
J20.0,Acute bronchitis due to Mycoplasma pneumoniae,Bacterial Diseases (excl TB),bacterial,151
M68.0,Synovitis and tenosynovitis in bacterial diseases classified elsewhere,Bacterial Diseases (excl TB),bacterial,151
A41.0,Sepsis due to Staphylococcus aureus,Bacterial Diseases (excl TB),bacterial,151
A40,Streptococcal sepsis,Bacterial Diseases (excl TB),bacterial,151
A69,Other spirochaetal infections,Bacterial Diseases (excl TB),bacterial,151
N70,Salpingitis and oophoritis,Bacterial Diseases (excl TB),bacterial,151
A37,Whooping cough,Bacterial Diseases (excl TB),bacterial,151
B98.0,Helicobacter pylori [H.pylori] as the cause of diseases classified to other chapters,Bacterial Diseases (excl TB),bacterial,151
M90.1,Periostitis in other infectious diseases classified elsewhere,Bacterial Diseases (excl TB),bacterial,151
M01.0,Meningococcal arthritis,Bacterial Diseases (excl TB),bacterial,151
N74.4,Female chlamydial pelvic inflammatory disease,Bacterial Diseases (excl TB),bacterial,151
M72.6,Necrotizing fasciitis,Bacterial Diseases (excl TB),bacterial,151
I32.0,Pericarditis in bacterial diseases classified elsewhere,Bacterial Diseases (excl TB),bacterial,151
A41.2,Sepsis due to unspecified staphylococcus,Bacterial Diseases (excl TB),bacterial,151
P36,Bacterial sepsis of newborn,Bacterial Diseases (excl TB),bacterial,151
F31,Bipolar affective disorder,Bipolar affective disorder and mania,bad,183
F30,Manic episode,Bipolar affective disorder and mania,bad,183
K22.7,Barrett's oesophagus,Barrett's oesophagus,barretts,60
G51.0,Bell's palsy,Bell's palsy,bells,214
K62.0,Anal polyp,"Benign neoplasm of colon, rectum, anus and anal canal",benign_colon,2
D12,"Benign neoplasm of colon, rectum, anus and anal canal","Benign neoplasm of colon, rectum, anus and anal canal",benign_colon,2
K62.1,Rectal polyp,"Benign neoplasm of colon, rectum, anus and anal canal",benign_colon,2
K63.5,Polyp of colon,"Benign neoplasm of colon, rectum, anus and anal canal",benign_colon,2
N83.0,Follicular cyst of ovary,Benign neoplasm of ovary,benign_ovary,3
D27,Benign neoplasm of ovary,Benign neoplasm of ovary,benign_ovary,3
N83.1,Corpus luteum cyst,Benign neoplasm of ovary,benign_ovary,3
N83.2,Other and unspecified ovarian cysts,Benign neoplasm of ovary,benign_ovary,3
D13.2,Benign neoplasm: Duodenum,Benign neoplasm of stomach and duodenum,benign_stomach,4
D13.1,Benign neoplasm: Stomach,Benign neoplasm of stomach and duodenum,benign_stomach,4
D13.3,Benign neoplasm: Other and unspecified parts of small intestine,Benign neoplasm of stomach and duodenum,benign_stomach,4
K31.7,Polyp of stomach and duodenum,Benign neoplasm of stomach and duodenum,benign_stomach,4
N84.0,Polyp of corpus uteri,Benign neoplasm and polyp of uterus,benign_uterus,1
D26.9,"Other benign neoplasm: Uterus, unspecified",Benign neoplasm and polyp of uterus,benign_uterus,1
D26.7,Other benign neoplasm: Other parts of uterus,Benign neoplasm and polyp of uterus,benign_uterus,1
D26.1,Other benign neoplasm: Corpus uteri,Benign neoplasm and polyp of uterus,benign_uterus,1
I45.2,Bifascicular block,Bifascicular block,bifasc_block,21
H54,Visual impairment including blindness (binocular or monocular),Visual impairment and blindness,blind,101
M49.0,Tuberculosis of spine,Infection of bones and joints,bone,159
M46.5,Other infective spondylopathies,Infection of bones and joints,bone,159
M46.2,Osteomyelitis of vertebra,Infection of bones and joints,bone,159
M90.2,Osteopathy in other infectious diseases classified elsewhere,Infection of bones and joints,bone,159
B67.2,Echinococcus granulosus infection of bone,Infection of bones and joints,bone,159
M86,Osteomyelitis,Infection of bones and joints,bone,159
B45.3,Osseous cryptococcosis,Infection of bones and joints,bone,159
M49.3,Spondylopathy in other infectious and parasitic diseases classified elsewhere,Infection of bones and joints,bone,159
A18.0,Tuberculosis of bones and joints,Infection of bones and joints,bone,159
B90.2,Sequelae of tuberculosis of bones and joints,Infection of bones and joints,bone,159
M90.0,Tuberculosis of bone,Infection of bones and joints,bone,159
A54.4,Gonococcal infection of musculoskeletal system,Infection of bones and joints,bone,159
M90.1,Periostitis in other infectious diseases classified elsewhere,Infection of bones and joints,bone,159
M49.2,Enterobacterial spondylitis,Infection of bones and joints,bone,159
M00,Pyogenic arthritis,Infection of bones and joints,bone,159
M49.1,Brucella spondylitis,Infection of bones and joints,bone,159
M01,Direct infections of joint in infectious and parasitic diseases classified elsewhere,Infection of bones and joints,bone,159
M46.4,"Discitis, unspecified",Infection of bones and joints,bone,159
M46.3,Infection of intervertebral disc (pyogenic),Infection of bones and joints,bone,159
N40,Hyperplasia of prostate,Hyperplasia of prostate,bph,112
Q33.4,Congenital bronchiectasis,Bronchiectasis,bronchiectasis,125
J47,Bronchiectasis,Bronchiectasis,bronchiectasis,125
I42.9,"Cardiomyopathy, unspecified",Other Cardiomyopathy,cardiomyo_oth,34
I42.8,Other cardiomyopathies,Other Cardiomyopathy,cardiomyo_oth,34
I43,Cardiomyopathy in diseases classified elsewhere,Other Cardiomyopathy,cardiomyo_oth,34
I42.5,Other restrictive cardiomyopathy,Other Cardiomyopathy,cardiomyo_oth,34
I42.3,Endomyocardial (eosinophilic) disease,Other Cardiomyopathy,cardiomyo_oth,34
I25.5,Ischaemic cardiomyopathy,Other Cardiomyopathy,cardiomyo_oth,34
I42.7,Cardiomyopathy due to drugs and other external agents,Other Cardiomyopathy,cardiomyo_oth,34
G56.0,Carpal tunnel syndrome,Carpal tunnel syndrome,carpal_tunnel,193
H26.2,Complicated cataract,Cataract,cataract,91
H26.9,"Cataract, unspecified",Cataract,cataract,91
H28,Cataract and other disorders of lens in diseases classified elsewhere,Cataract,cataract,91
H25,Senile cataract,Cataract,cataract,91
H26.8,Other specified cataract,Cataract,cataract,91
H26.0,"Infantile, juvenile and presenile cataract",Cataract,cataract,91
H26.4,After-cataract,Cataract,cataract,91
Q12.0,Congenital cataract,Cataract,cataract,91
I25.0,"Atherosclerotic cardiovascular disease, so described",Coronary heart disease not otherwise specified,chd_nos,22
I25.1,Atherosclerotic heart disease,Coronary heart disease not otherwise specified,chd_nos,22
I25.6,Silent myocardial ischaemia,Coronary heart disease not otherwise specified,chd_nos,22
I25.3,Aneurysm of heart,Coronary heart disease not otherwise specified,chd_nos,22
I25.9,"Chronic ischaemic heart disease, unspecified",Coronary heart disease not otherwise specified,chd_nos,22
I25.4,Coronary artery aneurysm,Coronary heart disease not otherwise specified,chd_nos,22
I25.5,Ischaemic cardiomyopathy,Coronary heart disease not otherwise specified,chd_nos,22
I25.8,Other forms of chronic ischaemic heart disease,Coronary heart disease not otherwise specified,chd_nos,22
K83.0,Cholangitis,Cholangitis,cholangitis,61
K80.3,Calculus of bile duct with cholangitis,Cholangitis,cholangitis,61
K81,Cholecystitis,Cholecystitis,cholecystitis,62
K80.1,Calculus of gallbladder with other cholecystitis,Cholecystitis,cholecystitis,62
K80.0,Calculus of gallbladder with acute cholecystitis,Cholecystitis,cholecystitis,62
K80.4,Calculus of bile duct with cholecystitis,Cholecystitis,cholecystitis,62
K80,Cholelithiasis,Cholelithiasis,cholelithiasis,63
N30.2,Other chronic cystitis,Non-acute cystitis,chr_cystitis,116
N30.1,Interstitial cystitis (chronic),Non-acute cystitis,chr_cystitis,116
B18,Chronic viral hepatitis,Chronic viral hepatitis,chr_hep,152
G93.3,Postviral fatigue syndrome,"Postviral fatigue syndrome, neurasthenia and fibromyalgia",chronic_fatigue,226
M79.7,Fibromyalgia,"Postviral fatigue syndrome, neurasthenia and fibromyalgia",chronic_fatigue,226
F48.0,Neurasthenia,"Postviral fatigue syndrome, neurasthenia and fibromyalgia",chronic_fatigue,226
K74.2,Hepatic fibrosis with hepatic sclerosis,"Liver fibrosis, sclerosis and cirrhosis",cirrhosis,74
K70.2,Alcoholic fibrosis and sclerosis of liver,"Liver fibrosis, sclerosis and cirrhosis",cirrhosis,74
K70.3,Alcoholic cirrhosis of liver,"Liver fibrosis, sclerosis and cirrhosis",cirrhosis,74
K74.1,Hepatic sclerosis,"Liver fibrosis, sclerosis and cirrhosis",cirrhosis,74
K74.6,Other and unspecified cirrhosis of liver,"Liver fibrosis, sclerosis and cirrhosis",cirrhosis,74
K74.5,"Biliary cirrhosis, unspecified","Liver fibrosis, sclerosis and cirrhosis",cirrhosis,74
K74.4,Secondary biliary cirrhosis,"Liver fibrosis, sclerosis and cirrhosis",cirrhosis,74
K71.7,Toxic liver disease with fibrosis and cirrhosis of liver,"Liver fibrosis, sclerosis and cirrhosis",cirrhosis,74
K74.0,Hepatic fibrosis,"Liver fibrosis, sclerosis and cirrhosis",cirrhosis,74
K70.1,Alcoholic hepatitis,"Liver fibrosis, sclerosis and cirrhosis",cirrhosis,74
K90.0,Coeliac disease,Coeliac disease,coeliac,64
M48.5,"Collapsed vertebra, not elsewhere classified",Collapsed vertebra,collapsed_vert,194
M49.5,Collapsed vertebra in diseases classified elsewhere,Collapsed vertebra,collapsed_vert,194
J44,Other chronic obstructive pulmonary disease,COPD,copd,126
J41,Simple and mucopurulent chronic bronchitis,COPD,copd,126
J43,Emphysema,COPD,copd,126
J40,"Bronchitis, not specified as acute or chronic",COPD,copd,126
J42,Unspecified chronic bronchitis,COPD,copd,126
K50,Crohn's disease [regional enteritis],Inflammatory Bowel Disease,ibd,71
I42.6,Alcoholic cardiomyopathy,Dilated cardiomyopathy,dcm,23
I42.0,Dilated cardiomyopathy,Dilated cardiomyopathy,dcm,23
