opcs4code,opcs4codedescr,disease_new,disease_name_new,disease_number_new
G351,Closure of perforated ulcer of stomach,Peptic ulcer disease,ulcer_peptic,77
G352,Closure of ulcer of stomach NEC,Peptic ulcer disease,ulcer_peptic,77
G358,Other specified operations on ulcer of stomach,Peptic ulcer disease,ulcer_peptic,77
G359,Unspecified operations on ulcer of stomach,Peptic ulcer disease,ulcer_peptic,77
G362,Closure of perforation of stomach NEC,Peritonitis,peritonitis,78
G412,Repair of perforation of pylorus,Peritonitis,peritonitis,78
G437,Fibreoptic endoscopic rubber band ligation of upper gastrointestinal tract varices,Portal hypertension,portal_htn,79
G52,Operations on ulcer of duodenum,Peptic ulcer disease,ulcer_peptic,77
G521,Closure of perforated ulcer of duodenum,Peritonitis,peritonitis,78
G521,Closure of perforated ulcer of duodenum,Peptic ulcer disease,ulcer_peptic,77
G522,Suture of ulcer of duodenum NEC,Peptic ulcer disease,ulcer_peptic,77
G523,Oversew of blood vessel of duodenal ulcer,Peptic ulcer disease,ulcer_peptic,77
G528,Other specified operations on ulcer of duodenum,Peptic ulcer disease,ulcer_peptic,77
G529,Unspecified operations on ulcer of duodenum,Peptic ulcer disease,ulcer_peptic,77
G532,Closure of perforation of duodenum NEC,Peritonitis,peritonitis,78
G633,Closure of perforation of jejunum,Peritonitis,peritonitis,78
G784,Closure of perforation of ileum,Peritonitis,peritonitis,78
H01,Emergency excision of appendix,Appendicitis,appendicitis,58
H011,Emergency excision of abnormal appendix and drainage HFQ,Appendicitis,appendicitis,58
H012,Emergency excision of abnormal appendix NEC,Appendicitis,appendicitis,58
H018,Other specified emergency excision of appendix,Appendicitis,appendicitis,58
H019,Unspecified emergency excision of appendix,Appendicitis,appendicitis,58
H02,Other excision of appendix,Appendicitis,appendicitis,58
H021,Interval appendicectomy,Appendicitis,appendicitis,58
H022,Planned delayed appendicectomy NEC,Appendicitis,appendicitis,58
H023,Prophylactic appendicectomy NEC,Appendicitis,appendicitis,58
H028,Other specified other excision of appendix,Appendicitis,appendicitis,58
H029,Unspecified other excision of appendix,Appendicitis,appendicitis,58
H03,Other operations on appendix,Appendicitis,appendicitis,58
H031,Drainage of abscess of appendix,Appendicitis,appendicitis,58
H032,Drainage of appendix NEC,Appendicitis,appendicitis,58
H121,Excision of diverticulum of colon,Diverticular disease of intestine (acute and chronic),diverticuli,66
H172,Open reduction of volvulus of caecum,Volvulus,volvulus,81
H173,Open reduction of volvulus of sigmoid colon,Volvulus,volvulus,81
H174,Open reduction of volvulus of colon NEC,Volvulus,volvulus,81
H303,Passage of flatus tube to reduce volvulus of sigmoid colon,Volvulus,volvulus,81
H36,Other abdominal operations for prolapse of rectum,Anorectal prolapse,anorectal_prolapse,57
H361,Abdominal repair of levator ani muscles,Anorectal prolapse,anorectal_prolapse,57
H368,Other specified other abdominal operations for prolapse of rectum,Anorectal prolapse,anorectal_prolapse,57
H369,Unspecified other abdominal operations for prolapse of rectum,Anorectal prolapse,anorectal_prolapse,57
H42,Perineal operations for prolapse of rectum,Anorectal prolapse,anorectal_prolapse,57
H421,Insertion of encircling suture around perianal sphincter,Anorectal prolapse,anorectal_prolapse,57
H422,Perineal plication of levator ani muscles and anal sphincters,Anorectal prolapse,anorectal_prolapse,57
H423,Insertion of supralevator sling,Anorectal prolapse,anorectal_prolapse,57
H424,Removal of encircling suture from around perianal sphincter,Anorectal prolapse,anorectal_prolapse,57
H425,Excision of mucosal prolapse of rectum NEC,Anorectal prolapse,anorectal_prolapse,57
H426,Perineal repair of prolapse of rectum NEC,Anorectal prolapse,anorectal_prolapse,57
H428,Other specified perineal operations for prolapse of rectum,Anorectal prolapse,anorectal_prolapse,57
H429,Unspecified perineal operations for prolapse of rectum,Anorectal prolapse,anorectal_prolapse,57
H442,Manual reduction of prolapse of rectum,Anorectal prolapse,anorectal_prolapse,57
H551,Laying open of low anal fistula,Anorectal fistula,anorectal_fistula,56
H552,Laying open of high anal fistula,Anorectal fistula,anorectal_fistula,56
H553,Laying open of anal fistula NEC,Anorectal fistula,anorectal_fistula,56
H554,Insertion of seton into high anal fistula and partial laying open of track HFQ,Anorectal fistula,anorectal_fistula,56
H555,Fistulography of anal fistula,Anorectal fistula,anorectal_fistula,56
H556,Probing of perineal fistula,Anorectal fistula,anorectal_fistula,56
H557,Repair of anal fistula using plug,Anorectal fistula,anorectal_fistula,56
H564,Excision of anal fissure,Anal fissure,anal_fissure,54
H591,Excision of pilonidal sinus and Z plasty skin flap HFQ,Pilonidal cyst/sinus,pilonidal,234
H592,Excision of pilonidal sinus and skin flap NEC,Pilonidal cyst/sinus,pilonidal,234
H593,Excision of pilonidal sinus and skin graft HFQ,Pilonidal cyst/sinus,pilonidal,234
H594,Excision of pilonidal sinus and suture HFQ,Pilonidal cyst/sinus,pilonidal,234
H598,Other specified excision of pilonidal sinus,Pilonidal cyst/sinus,pilonidal,234
H599,Unspecified excision of pilonidal sinus,Pilonidal cyst/sinus,pilonidal,234
H601,Destruction of pilonidal sinus,Pilonidal cyst/sinus,pilonidal,234
H602,Laying open of pilonidal sinus,Pilonidal cyst/sinus,pilonidal,234
H603,Drainage of pilonidal sinus,Pilonidal cyst/sinus,pilonidal,234
H604,Injection of radiocontrast substance into pilonidal sinus,Pilonidal cyst/sinus,pilonidal,234
H608,Other specified other operations on pilonidal sinus,Pilonidal cyst/sinus,pilonidal,234
H609,Unspecified other operations on pilonidal sinus,Pilonidal cyst/sinus,pilonidal,234
J203,Repair of perforation of gall bladder,Peritonitis,peritonitis,78
L50,Other emergency bypass of iliac artery,Peripheral arterial disease,peripheral_arterial_disease,36
L501,Emergency bypass of common iliac artery by anastomosis of aorta to common iliac artery NEC,Peripheral arterial disease,peripheral_arterial_disease,36
L502,Emergency bypass of iliac artery by anastomosis of aorta to external iliac artery NEC,Peripheral arterial disease,peripheral_arterial_disease,36
L503,Emergency bypass of artery of leg by anastomosis of aorta to common femoral artery NEC,Peripheral arterial disease,peripheral_arterial_disease,36
L504,Emergency bypass of artery of leg by anastomosis of aorta to deep femoral artery NEC,Peripheral arterial disease,peripheral_arterial_disease,36
L505,Emergency bypass of iliac artery by anastomosis of iliac artery to iliac artery NEC,Peripheral arterial disease,peripheral_arterial_disease,36
L506,Emergency bypass of artery of leg by anastomosis of iliac artery to femoral artery NEC,Peripheral arterial disease,peripheral_arterial_disease,36
L508,Other specified other emergency bypass of iliac artery,Peripheral arterial disease,peripheral_arterial_disease,36
L509,Unspecified other emergency bypass of iliac artery,Peripheral arterial disease,peripheral_arterial_disease,36
L51,Other bypass of iliac artery,Peripheral arterial disease,peripheral_arterial_disease,36
L511,Bypass of common iliac artery by anastomosis of aorta to common iliac artery NEC,Peripheral arterial disease,peripheral_arterial_disease,36
L512,Bypass of iliac artery by anastomosis of aorta to external iliac artery NEC,Peripheral arterial disease,peripheral_arterial_disease,36
L513,Bypass of artery of leg by anastomosis of aorta to common femoral artery NEC,Peripheral arterial disease,peripheral_arterial_disease,36
L514,Bypass of artery of leg by anastomosis of aorta to deep femoral artery NEC,Peripheral arterial disease,peripheral_arterial_disease,36
L515,Bypass of iliac artery by anastomosis of iliac artery to iliac artery NEC,Peripheral arterial disease,peripheral_arterial_disease,36
L516,Bypass of artery of leg by anastomosis of iliac artery to femoral artery NEC,Peripheral arterial disease,peripheral_arterial_disease,36
L518,Other specified other bypass of iliac artery,Peripheral arterial disease,peripheral_arterial_disease,36
L519,Unspecified other bypass of iliac artery,Peripheral arterial disease,peripheral_arterial_disease,36
L52,Reconstruction of iliac artery,Peripheral arterial disease,peripheral_arterial_disease,36
L521,Endarterectomy of iliac artery and patch repair of iliac artery,Peripheral arterial disease,peripheral_arterial_disease,36
L522,Endarterectomy of iliac artery NEC,Peripheral arterial disease,peripheral_arterial_disease,36
L528,Other specified reconstruction of iliac artery,Peripheral arterial disease,peripheral_arterial_disease,36
L529,Unspecified reconstruction of iliac artery,Peripheral arterial disease,peripheral_arterial_disease,36
L53,Other open operations on iliac artery,Peripheral arterial disease,peripheral_arterial_disease,36
L531,Repair of iliac artery NEC,Peripheral arterial disease,peripheral_arterial_disease,36
L532,Open embolectomy of iliac artery,Peripheral arterial disease,peripheral_arterial_disease,36
L541,Percutaneous transluminal angioplasty of iliac artery,Peripheral arterial disease,peripheral_arterial_disease,36
L542,Percutaneous transluminal embolectomy of iliac artery,Peripheral arterial disease,peripheral_arterial_disease,36
L544,Percutaneous transluminal insertion of stent into iliac artery,Peripheral arterial disease,peripheral_arterial_disease,36
L548,Other specified transluminal operations on iliac artery,Peripheral arterial disease,peripheral_arterial_disease,36
L549,Unspecified transluminal operations on iliac artery,Peripheral arterial disease,peripheral_arterial_disease,36
L58,Other emergency bypass of femoral artery,Peripheral arterial disease,peripheral_arterial_disease,36
L581,Emergency bypass of femoral artery by anastomosis of femoral artery to femoral artery NEC,Peripheral arterial disease,peripheral_arterial_disease,36
L582,Emergency bypass of femoral artery by anastomosis of femoral artery to popliteal artery using prosthesis NEC,Peripheral arterial disease,peripheral_arterial_disease,36
L583,Emergency bypass of femoral artery by anastomosis of femoral artery to popliteal artery using vein graft NEC,Peripheral arterial disease,peripheral_arterial_disease,36
L584,Emergency bypass of femoral artery by anastomosis of femoral artery to tibial artery using prosthesis NEC,Peripheral arterial disease,peripheral_arterial_disease,36
L585,Emergency bypass of femoral artery by anastomosis of femoral artery to tibial artery using vein graft NEC,Peripheral arterial disease,peripheral_arterial_disease,36
L586,Emergency bypass of femoral artery by anastomosis of femoral artery to peroneal artery using prosthesis NEC,Peripheral arterial disease,peripheral_arterial_disease,36
L587,Emergency bypass of femoral artery by anastomosis of femoral artery to peroneal artery using vein graft NEC,Peripheral arterial disease,peripheral_arterial_disease,36
L588,Other specified other emergency bypass of femoral artery,Peripheral arterial disease,peripheral_arterial_disease,36
L589,Unspecified other emergency bypass of femoral artery,Peripheral arterial disease,peripheral_arterial_disease,36
L59,Other bypass of femoral artery,Peripheral arterial disease,peripheral_arterial_disease,36
L591,Bypass of femoral artery by anastomosis of femoral artery to femoral artery NEC,Peripheral arterial disease,peripheral_arterial_disease,36
L592,Bypass of femoral artery by anastomosis of femoral artery to popliteal artery using prosthesis NEC,Peripheral arterial disease,peripheral_arterial_disease,36
L593,Bypass of femoral artery by anastomosis of femoral artery to popliteal artery using vein graft NEC,Peripheral arterial disease,peripheral_arterial_disease,36
L594,Bypass of femoral artery by anastomosis of femoral artery to tibial artery using prosthesis NEC,Peripheral arterial disease,peripheral_arterial_disease,36
L595,Bypass of femoral artery by anastomosis of femoral artery to tibial artery using vein graft NEC,Peripheral arterial disease,peripheral_arterial_disease,36
L596,Bypass of femoral artery by anastomosis of femoral artery to peroneal artery using prosthesis NEC,Peripheral arterial disease,peripheral_arterial_disease,36
L597,Bypass of femoral artery by anastomosis of femoral artery to peroneal artery using vein graft NEC,Peripheral arterial disease,peripheral_arterial_disease,36
L598,Other specified other bypass of femoral artery,Peripheral arterial disease,peripheral_arterial_disease,36
L599,Unspecified other bypass of femoral artery,Peripheral arterial disease,peripheral_arterial_disease,36
L60,Reconstruction of femoral artery,Peripheral arterial disease,peripheral_arterial_disease,36
L601,Endarterectomy of femoral artery and patch repair of femoral artery,Peripheral arterial disease,peripheral_arterial_disease,36
L602,Endarterectomy of femoral artery NEC,Peripheral arterial disease,peripheral_arterial_disease,36
L603,Profundoplasty of femoral artery and patch repair of deep femoral artery,Peripheral arterial disease,peripheral_arterial_disease,36
L604,Profundoplasty of femoral artery NEC,Peripheral arterial disease,peripheral_arterial_disease,36
L608,Other specified reconstruction of femoral artery,Peripheral arterial disease,peripheral_arterial_disease,36
L609,Unspecified reconstruction of femoral artery,Peripheral arterial disease,peripheral_arterial_disease,36
L62,Other open operations on femoral artery,Peripheral arterial disease,peripheral_arterial_disease,36
L621,Repair of femoral artery NEC,Peripheral arterial disease,peripheral_arterial_disease,36
L622,Open embolectomy of femoral artery,Peripheral arterial disease,peripheral_arterial_disease,36
L628,Other specified other open operations on femoral artery,Peripheral arterial disease,peripheral_arterial_disease,36
L629,Unspecified other open operations on femoral artery,Peripheral arterial disease,peripheral_arterial_disease,36
L631,Percutaneous transluminal angioplasty of femoral artery,Peripheral arterial disease,peripheral_arterial_disease,36
L632,Percutaneous transluminal embolectomy of femoral artery,Peripheral arterial disease,peripheral_arterial_disease,36
L633,Percutaneous transluminal embolisation of femoral artery,Peripheral arterial disease,peripheral_arterial_disease,36
L635,Percutaneous transluminal insertion of stent into femoral artery,Peripheral arterial disease,peripheral_arterial_disease,36
L65,Revision of reconstruction of artery,Peripheral arterial disease,peripheral_arterial_disease,36
L651,Revision of reconstruction involving aorta,Peripheral arterial disease,peripheral_arterial_disease,36
L652,Revision of reconstruction involving iliac artery,Peripheral arterial disease,peripheral_arterial_disease,36
L653,Revision of reconstruction involving femoral artery,Peripheral arterial disease,peripheral_arterial_disease,36
L746,Creation of graft fistula for dialysis,Chronic kidney disease,ckd,103
M011,Autotransplantation of kidney,Chronic kidney disease,ckd,103
M012,Allotransplantation of kidney from live donor,Chronic kidney disease,ckd,103
M013,Allotransplantation of kidney from cadaver NEC,Chronic kidney disease,ckd,103
M014,Allotransplantation of kidney from cadaver heart beating,Chronic kidney disease,ckd,103
M015,Allotransplantation of kidney from cadaver heart non-beating,Chronic kidney disease,ckd,103
M018,Other specified transplantation of kidney,Chronic kidney disease,ckd,103
M019,Unspecified transplantation of kidney,Chronic kidney disease,ckd,103
M026,Excision of rejected transplanted kidney,Chronic kidney disease,ckd,103
M027,Excision of transplanted kidney NEC,Chronic kidney disease,ckd,103
M061,Open removal of calculus from kidney,Urolithiasis,urolithiasis,120
M084,Exploration of transplanted kidney,Chronic kidney disease,ckd,103
M09,Therapeutic endoscopic operations on calculus of kidney,Urolithiasis,urolithiasis,120
M091,Endoscopic ultrasound fragmentation of calculus of kidney,Urolithiasis,urolithiasis,120
M092,Endoscopic electrohydraulic shockwave fragmentation of calculus of kidney,Urolithiasis,urolithiasis,120
M093,Endoscopic laser fragmentation of calculus of kidney,Urolithiasis,urolithiasis,120
M094,Endoscopic extraction of calculus of kidney NEC,Urolithiasis,urolithiasis,120
M098,Other specified therapeutic endoscopic operations on calculus of kidney,Urolithiasis,urolithiasis,120
M099,Unspecified therapeutic endoscopic operations on calculus of kidney,Urolithiasis,urolithiasis,120
M14,Extracorporeal fragmentation of calculus of kidney,Urolithiasis,urolithiasis,120
M141,Extracorporeal shock wave lithotripsy of calculus of kidney,Urolithiasis,urolithiasis,120
M148,Other specified extracorporeal fragmentation of calculus of kidney,Urolithiasis,urolithiasis,120
M149,Unspecified extracorporeal fragmentation of calculus of kidney,Urolithiasis,urolithiasis,120
M164,Percutaneous nephrolithotomy NEC,Urolithiasis,urolithiasis,120
M172,Pre-transplantation of kidney work-up - recipient,Chronic kidney disease,ckd,103
M174,Post-transplantation of kidney examination - recipient,Chronic kidney disease,ckd,103
M178,Other specified interventions associated with transplantation of kidney,Chronic kidney disease,ckd,103
M179,Unspecified interventions associated with transplantation of kidney,Chronic kidney disease,ckd,103
M231,Open ureterolithotomy,Urolithiasis,urolithiasis,120
M261,Nephroscopic laser fragmentation of calculus of ureter,Urolithiasis,urolithiasis,120
M262,Nephroscopic fragmentation of calculus of ureter NEC,Urolithiasis,urolithiasis,120
M263,Nephroscopic extraction of calculus of ureter,Urolithiasis,urolithiasis,120
M271,Ureteroscopic laser fragmentation of calculus of ureter,Urolithiasis,urolithiasis,120
M272,Ureteroscopic fragmentation of calculus of ureter NEC,Urolithiasis,urolithiasis,120
M273,Ureteroscopic extraction of calculus of ureter,Urolithiasis,urolithiasis,120
M28,Other endoscopic removal of calculus from ureter,Urolithiasis,urolithiasis,120
M281,Endoscopic laser fragmentation of calculus of ureter NEC,Urolithiasis,urolithiasis,120
M282,Endoscopic fragmentation of calculus of ureter NEC,Urolithiasis,urolithiasis,120
M283,Endoscopic extraction of calculus of ureter NEC,Urolithiasis,urolithiasis,120
M284,Endoscopic catheter drainage of calculus of ureter,Urolithiasis,urolithiasis,120
M285,Endoscopic drainage of calculus of ureter by dilation of ureter,Urolithiasis,urolithiasis,120
M288,Other specified other endoscopic removal of calculus from ureter,Urolithiasis,urolithiasis,120
M289,Unspecified other endoscopic removal of calculus from ureter,Urolithiasis,urolithiasis,120
M31,Extracorporeal fragmentation of calculus of ureter,Urolithiasis,urolithiasis,120
M311,Extracorporeal shockwave lithotripsy of calculus of ureter,Urolithiasis,urolithiasis,120
M318,Other specified extracorporeal fragmentation of calculus of ureter,Urolithiasis,urolithiasis,120
M319,Unspecified extracorporeal fragmentation of calculus of ureter,Urolithiasis,urolithiasis,120
M391,Open removal of calculus from bladder,Urolithiasis,urolithiasis,120
M442,Endoscopic extraction of calculus of bladder NEC,Urolithiasis,urolithiasis,120
M754,Open extraction of calculus from urethra,Urolithiasis,urolithiasis,120
M861,Endoscopic extraction of calculus of urinary diversion,Urolithiasis,urolithiasis,120
O171,Remanipulation of intracapsular fracture of neck of femur and fixation using nail or screw,Fracture of hip,fracture_hip,198
T19,Simple excision of inguinal hernial sac,Abdominal Hernia,hernia_abdo,52
T191,Bilateral herniotomy,Abdominal Hernia,hernia_abdo,52
T192,Unilateral herniotomy,Abdominal Hernia,hernia_abdo,52
T193,Ligation of patent processus vaginalis,Abdominal Hernia,hernia_abdo,52
T198,Other specified simple excision of inguinal hernial sac,Abdominal Hernia,hernia_abdo,52
T199,Unspecified simple excision of inguinal hernial sac,Abdominal Hernia,hernia_abdo,52
T20,Primary repair of inguinal hernia,Abdominal Hernia,hernia_abdo,52
T201,Primary repair of inguinal hernia using insert of natural material,Abdominal Hernia,hernia_abdo,52
T202,Primary repair of inguinal hernia using insert of prosthetic material,Abdominal Hernia,hernia_abdo,52
T203,Primary repair of inguinal hernia using sutures,Abdominal Hernia,hernia_abdo,52
T204,Primary repair of inguinal hernia and reduction of sliding hernia,Abdominal Hernia,hernia_abdo,52
T208,Other specified primary repair of inguinal hernia,Abdominal Hernia,hernia_abdo,52
T209,Unspecified primary repair of inguinal hernia,Abdominal Hernia,hernia_abdo,52
T21,Repair of recurrent inguinal hernia,Abdominal Hernia,hernia_abdo,52
T211,Repair of recurrent inguinal hernia using insert of natural material,Abdominal Hernia,hernia_abdo,52
T212,Repair of recurrent inguinal hernia using insert of prosthetic material,Abdominal Hernia,hernia_abdo,52
T213,Repair of recurrent inguinal hernia using sutures,Abdominal Hernia,hernia_abdo,52
T214,Removal of prosthetic material from previous repair of inguinal hernia,Abdominal Hernia,hernia_abdo,52
T218,Other specified repair of recurrent inguinal hernia,Abdominal Hernia,hernia_abdo,52
T219,Unspecified repair of recurrent inguinal hernia,Abdominal Hernia,hernia_abdo,52
T22,Primary repair of femoral hernia,Abdominal Hernia,hernia_abdo,52
T221,Primary repair of femoral hernia using insert of natural material,Abdominal Hernia,hernia_abdo,52
T222,Primary repair of femoral hernia using insert of prosthetic material,Abdominal Hernia,hernia_abdo,52
T223,Primary repair of femoral hernia using sutures,Abdominal Hernia,hernia_abdo,52
T228,Other specified primary repair of femoral hernia,Abdominal Hernia,hernia_abdo,52
T229,Unspecified primary repair of femoral hernia,Abdominal Hernia,hernia_abdo,52
T23,Repair of recurrent femoral hernia,Abdominal Hernia,hernia_abdo,52
T231,Repair of recurrent femoral hernia using insert of natural material,Abdominal Hernia,hernia_abdo,52
T232,Repair of recurrent femoral hernia using insert of prosthetic material,Abdominal Hernia,hernia_abdo,52
T233,Repair of recurrent femoral hernia using sutures,Abdominal Hernia,hernia_abdo,52
T234,Removal of prosthetic material from previous repair of femoral hernia,Abdominal Hernia,hernia_abdo,52
T238,Other specified repair of recurrent femoral hernia,Abdominal Hernia,hernia_abdo,52
T239,Unspecified repair of recurrent femoral hernia,Abdominal Hernia,hernia_abdo,52
T24,Primary repair of umbilical hernia,Abdominal Hernia,hernia_abdo,52
T241,Repair of umbilical hernia using insert of natural material,Abdominal Hernia,hernia_abdo,52
T242,Repair of umbilical hernia using insert of prosthetic material,Abdominal Hernia,hernia_abdo,52
T243,Repair of umbilical hernia using sutures,Abdominal Hernia,hernia_abdo,52
T244,Removal of prosthetic material from previous repair of umbilical hernia,Abdominal Hernia,hernia_abdo,52
T248,Other specified primary repair of umbilical hernia,Abdominal Hernia,hernia_abdo,52
T249,Unspecified primary repair of umbilical hernia,Abdominal Hernia,hernia_abdo,52
T25,Primary repair of incisional hernia,Abdominal Hernia,hernia_abdo,52
T251,Primary repair of incisional hernia using insert of natural material,Abdominal Hernia,hernia_abdo,52
T252,Primary repair of incisional hernia using insert of prosthetic material,Abdominal Hernia,hernia_abdo,52
T253,Primary repair of incisional hernia using sutures,Abdominal Hernia,hernia_abdo,52
T258,Other specified primary repair of incisional hernia,Abdominal Hernia,hernia_abdo,52
T259,Unspecified primary repair of incisional hernia,Abdominal Hernia,hernia_abdo,52
T26,Repair of recurrent incisional hernia,Abdominal Hernia,hernia_abdo,52
